  0.314159, -0.500000,  0.500000,  0.314159, -0.314159, -0.314159, -0.314159,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
 -0.021212, -0.409988,  0.212500,  0.122862,  1.244648, -3.236481,  0.622458,  0.171456, 10.000000, -8.024245,  4.579668, -2.571482,  0.000000
 -0.180402, -0.467431,  0.075426,  0.221913, -0.304181, -2.157456,  0.944970,  0.056271, 13.372512,-13.224237,  5.371633, -5.190926,  0.000000
 -0.213487, -0.468443,  0.045524,  0.226860,  0.849452, -2.223669, -0.181382,  0.017463, 14.364519,-14.011666,  5.827310, -5.442027,  0.000000
 -0.220996, -0.467845,  0.038540,  0.225061,  0.495347, -1.514349, -0.547488,  0.005258, 14.610208,-14.169412,  5.951276, -5.478050,  0.000000
 -0.222366, -0.467317,  0.037174,  0.223582,  0.331945, -1.168770, -0.732890,  0.001568, 14.664106,-14.188963,  5.982964, -5.475390,  0.000000
 -0.222650, -0.466994,  0.036843,  0.223012,  0.257732, -1.012451, -0.816025,  0.000466, 14.679882,-14.188399,  5.994129, -5.470215,  0.000000
 -0.222715, -0.466848,  0.036751,  0.222822,  0.228900, -0.952268, -0.847772,  0.000139, 14.685026,-14.186688,  5.998230, -5.467460,  0.000000
 -0.222731, -0.466794,  0.036725,  0.222763,  0.218801, -0.932151, -0.858011,  0.000041, 14.686682,-14.185878,  5.999628, -5.466393,  0.000000
 -0.222735, -0.466774,  0.036717,  0.222744,  0.215102, -0.925899, -0.860747,  0.000012, 14.687221,-14.185548,  6.000103, -5.465999,  0.000000
 -0.222735, -0.466766,  0.036714,  0.222738,  0.213344, -0.923992, -0.861079,  0.000004, 14.687420,-14.185381,  6.000293, -5.465822,  0.000000
 -0.222735, -0.466761,  0.036714,  0.222736,  0.212107, -0.923393, -0.860637,  0.000001, 14.687522,-14.185257,  6.000400, -5.465705,  0.000000
 -0.222734, -0.466756,  0.036713,  0.222734,  0.210959, -0.923178, -0.859918,  0.000000, 14.687597,-14.185140,  6.000489, -5.465600,  0.000000
 -0.222733, -0.466752,  0.036713,  0.222733,  0.209774, -0.923072, -0.859070,  0.000000, 14.687669,-14.185019,  6.000575, -5.465494,  0.000000
 -0.222732, -0.466747,  0.036713,  0.222732,  0.208511, -0.922990, -0.858138,  0.000000, 14.687744,-14.184889,  6.000667, -5.465380,  0.000000
